Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,Virksomhedsform,CVR,Virksomhedens_navn,Tilsynsførende_myndighed,Driftsherre,latitude,longitude,kommune
Landeriets aktivitets- og samværstilbud (§ 104) (Landeriet),"Krøjgårdvej 17
    

    7400 Herning","Godkendt
        03-06-2024","409,14 - 409,14 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Søren Bundgaard,sb@landeriet.dk,20891747,2.678.267 kr.,42.017 kr.,0 kr.,1.220.831 kr.,82.341 kr.,"53,76 %","1,57 %","62,04 %","15,17 %","33,33 %",Øvrige virksomhedsformer,42260096,Landeriet S/I,Socialtilsyn Midt,Tilbuddet selv,56.152598,9.049859,Herning Kommune
N.A.B.O. Center,"Portugalsgade 10
    

    2300 København S","Godkendt
        20-12-2021",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
            ingen ledige",Bente Clausen,bc@nabocenter.dk,26739922,,,,,,,,,,,Fonde og andre selvejende institutioner,80968515,Fonden Missionen Blandt Hjemløse,Københavns Kommune,Tilbuddet selv,55.660467,12.607248,Københavns Kommune
Neuropædagogisk tilbud,"Faaborgvej 19
    

    5854 Gislev","Godkendt
        08-11-2022",319 - 977 kr.,"Aktivitets- og samværstilbud, § 104","41 - Aktivitets- og samværstilbud, § 104","41 pladser -
                Kontakt afdelingen om ledige pladser",Anne Bro,anneb@fmk.dk,72536351,,,,,,,,,,,Primærkommune,29188645,Faaborg-Midtfyn Kommune,5798006903450,Tilbuddet selv,55.217543,10.594746,Faaborg-Midtfyn Kommune
Papirfabrikken (Center for Social Rehabilitering),"Vesterbrogade 13
    

    7100 Vejle","Godkendt
        09-02-2018",38 - 117 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
            ingen ledige",Peter Saaby,petsa@vejle.dk,23383450,,,,,,,,,,,Primærkommune,29189900,Vejle Kommune,Vejle Kommune,Tilbuddet selv,55.714396,9.534423,Vejle Kommune
Pedelteam 2 (NorGro),"Kildevej 3B
    

    3200 Helsinge","Godkendt
        04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
                Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498,,,,,,,,,,,Anpartsselskab,43347160,NorGro ApS,Gribskov Kommune,Tilbuddet selv,56.004949,12.237487,Gribskov Kommune
"RoS - Netværkshuset Rosenhuset, Slagelse (Netværkshuset Slagelse)","Bredegade 10
    

    4200 Slagelse","Godkendt
        16-03-2022",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
                Kontakt afdelingen om ledige pladser",Janne Müller,jlmul@slagelse.dk,20360661,,,,,,,,,,,Primærkommune,29188505,Slagelse Kommune,5798007389215,Tilbuddet selv,55.402047,11.352955,Slagelse Kommune
Socialt Rehabiliteringscenter - ETAC Rehabiliteringscenter,"Kvaglundparken 1
    

    6705 Esbjerg Ø","Godkendt
        11-07-2024","140,24 - 140,24 kr.","Aktivitets- og samværstilbud, § 104","140 - Aktivitets- og samværstilbud, § 104","140 pladser -
                Kontakt afdelingen om ledige pladser",Anne Syrene Mortensen,anmor@esbjerg.dk,76163690,,,,,,,,,,,Fonde og andre selvejende institutioner,25527305,Esbjerg Trænings- og Aktivitetscenter,5798004920497,Esbjerg Kommune,55.493776,8.486194,Esbjerg Kommune
Ungehuset Fontana (Fountain House København),"Teglværksgade 22
    

    2100 København Ø","Godkendt
        10-03-2023","5.714,46 - 5.714,46 kr.","Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104",,,,,,,,,,,,,,,,,,,,55.707093,12.559507,Københavns Kommune
Værestedet 12'eren,"Sundquistsgade 12
    

    6400 Sønderborg","Godkendt
        04-12-2020",,"Aktivitets- og samværstilbud, § 104","65 - Aktivitets- og samværstilbud, § 104","65 pladser -
                Kontakt afdelingen om ledige pladser",Dorte Snitgaard Petersen,dspe@sonderborg.dk,27908293,,,,,,,,,,,Primærkommune,29189773,Sønderborg Kommune,5798005156864,Tilbuddet selv,54.903941,9.794531,Sønderborg Kommune
Værket (Fonden Botilbuddet Hvidbjerghus),"Barslevvej 6
    

    7790 Thyholm","Godkendt
        22-07-2024","342,49 - 342,49 kr.","Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 16 pladser forbeholdt beboere på botilbuddet",Henrik Jensen,post@hvidbjerghus.dk,4597872525,18.108.118 kr.,1.138.852 kr.,901.790 kr.,9.426.352 kr.,410.278 kr.,"60,65 %","6,29 %","72,57 %","6,95 %","9,4 %",Øvrige virksomhedsformer,29923418,Fonden Botilbuddet Hvidbjerghus,Socialtilsyn Midt,Tilbuddet selv,56.649963,8.523598,Struer Kommune
Aktivhuset Freya,"Rådhusholmen 5
    

    2670 Greve","Godkendt
        10-08-2015",108 - 108 kr.,"Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
            ingen ledige",Navnet er hemmeligt,,,,,,,,,,,,,Primærkommune,44023911,Greve Kommune,5798007855994,Tilbuddet selv,55.581404,12.289694,Greve Kommune
"Aktivitetscenter (Bofællesskabet, Samsø Bo- og Aktivitetscenter)","Kildemosen 5
    

    8305 Samsø","Godkendt
        15-02-2024",333 - 333 kr.,"Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 4 pladser forbeholdt beboere på botilbuddet",Susanne Eggen,ausse@samsoe.dk,25208822,5.021.251 kr.,-155.251 kr.,0 kr.,3.534.559 kr.,361.041 kr.,,"-3,09 %","92,17 %","2,3 %",14 %,Primærkommune,23795515,Samsø Kommune,5798006124220,Tilbuddet selv,55.829355,10.588494,Samsø Kommune
Bifrost,"J.V. Martins Plads 1
    

    8900 Randers C","Godkendt
        15-01-2025","126,88 - 511,34 kr.","Aktivitets- og samværstilbud, § 104","21 - Aktivitets- og samværstilbud, § 104","21 pladser -
                Kontakt afdelingen om ledige pladser",Michael Wilhelm Kull,mk@fof.dk,28116364,,,,,,,,,,,Forening,58865419,FOLKELIGT OPLYSNINGS FORBUND,Randers Kommune,Tilbuddet selv,56.463401,10.050064,Randers Kommune
CSU Kaffekanden,"Vesterled 3
    

    8700 Horsens","Godkendt
        09-04-2015",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","36 - Aktivitets- og samværstilbud, § 104","36 pladser -
            ingen ledige",anna Laursen,ala@horsens.dk,51835921,,,,,,,,,,,Primærkommune,29189889,Horsens Kommune,5798006170401,Tilbuddet selv,55.871305,9.832157,Horsens Kommune
Dagtilbuddet 12'eren (Dagtilbuddet Spektrum),"Radisevej 12
    

    2300 København S","Godkendt
        10-07-2023",2.012 - 2.012 kr.,"Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
            ingen ledige",Mads Hansen,ek09@kk.dk,27641775,,,,,,,,,,,Primærkommune,64942212,Københavns Kommune,5798009683113,Tilbuddet selv,55.648636,12.607835,Københavns Kommune
Dagtilbuddet Brønshøjvej og  klub Hvepsereden Captum (Dagtilbuddet Captum),"Brønshøjvej 17D
    

    2700 Brønshøj","Godkendt
        10-07-2023",305 - 518 kr.,"Aktivitets- og samværstilbud, § 104","49 - Aktivitets- og samværstilbud, § 104","49 pladser -
                Kontakt afdelingen om ledige pladser",Vibeke Jessen,KU3T@kk.dk,23811241,,,,,,,,,,,Primærkommune,64942212,Københavns Kommune,5798009696144,Tilbuddet selv,55.702126,12.498506,Københavns Kommune
Globen Aars §104 (Globen Aars),"Hjortkjærsvej 28A
    

    9600 Aars","Godkendt
        18-12-2014",679 - 679 kr.,"Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
                Kontakt afdelingen om ledige pladser",Kenneth Christensen,kbc@vesthimmerland.dk,21639068,,,,,,,,,,,Primærkommune,29189471,Vesthimmerlands Kommune,5798004133217,Tilbuddet selv,56.806349,9.496668,Vesthimmerlands Kommune
Handicap specialiserede botilbud - Katrinehaven Aktivitetscenter,"Katrinehaven 1, st.  62
    

    8800 Viborg","Godkendt
        26-11-2018",405 - 405 kr.,"Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
            ingen ledige",Lilli Ane Urup,liu@viborg.dk,87877325,,,,,,,,,,,Primærkommune,29189846,Viborg Kommune,5798004556504,Tilbuddet selv,,,
Individualisterne ApS,"Kalundborgvej 39B
    

    4200 Slagelse","Godkendt
        16-03-2022","728,86 - 728,86 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
                Kontakt afdelingen om ledige pladser",Louise Dixen,admin@individualisterne.dk,27870801,,,,,,,,,,,Anpartsselskab,36396393,INDIVIDUALISTERNE ApS,Socialtilsyn Øst,Tilbuddet selv,55.41039,11.337815,Slagelse Kommune
Kernehuset (Fountain House København),"Teglværksgade 22
    

    2100 København Ø","Godkendt
        30-10-2024","201,29 - 201,29 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Maria Clemensen,maria@fountain-house.dk,23108196,,,,,,,,,,,Øvrige virksomhedsformer,42965472,S/I Fountain House København,5790000311606,Tilbuddet selv,55.707093,12.559507,Københavns Kommune
Kirkens Korshær Drejervej,"Drejervej 6
    

    2400 København NV","Godkendt
        03-02-2022",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104","60 pladser -
                Kontakt afdelingen om ledige pladser",Hanne Kirstine Okwera,ho@kirkenskorshaer.dk,50522880,,,,,,,,,,,Forening,82883711,Kirkens Korshær,Københavns Kommune,Tilbuddet selv,55.702709,12.535305,Københavns Kommune
Klub Hjorten,"Hjortholmsvej 3
    

    2800 Kongens Lyngby","Godkendt
        04-06-2024",208 - 208 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
            ingen ledige",Bettina Heldorf,beh@ltk.dk,23706721,,,,,,,,,,,Primærkommune,11715311,Lyngby-Taarbæk Kommune,5798001642569,Tilbuddet selv,55.766592,12.513059,Lyngby-Taarbæk Kommune
Kunstskolen Rammen,"Skellet 4
    

    4600 Køge","Godkendt
        23-02-2024","581,94 - 581,94 kr.","Aktivitets- og samværstilbud, § 104","9 - Aktivitets- og samværstilbud, § 104","9 pladser -
                Kontakt afdelingen om ledige pladser",Gitte Hansen,gvh@fof.dk,56655322,,,,,,,,,,,Forening,25955811,FOF Køge Bugt,Køge Kommune,Tilbuddet selv,55.453535,12.16867,Køge Kommune
Magneten Aktivitets- og samværstilbud,"Kastanievej 2
    

    2800 Kongens Lyngby","Godkendt
        08-05-2024",184 - 184 kr.,"Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Dorthe Smith Johansen,dorjo@ltk.dk,21381340,,,,,,,,,,,Primærkommune,11715311,Lyngby-Taarbæk Kommune,5798008551543,Tilbuddet selv,55.770318,12.500939,Lyngby-Taarbæk Kommune
Netværksklubtilbud Kollegiet Vestergade (Fonden for Midtfyns Kollegier og Botilbud),"Vestergade 27
    

    5750 Ringe","Godkendt
        14-02-2025","288,11 - 288,11 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
                Kontakt afdelingen om ledige pladser",Dorthe Vistrup,dvi@ringekostskole.dk,62622080,25.549.572 kr.,2.197.455 kr.,1.907.315 kr.,11.055.818 kr.,1.558.992 kr.,"45,71 %","8,6 %","64,52 %","8,03 %",6 %,Øvrige virksomhedsformer,27454887,Fonden for Midtfyns Kollegier og Botilbud S/I,Socialtilsyn Midt,Tilbuddet selv,55.234357,10.473277,Faaborg-Midtfyn Kommune
Samværs- og Aktivitetscenter Hjortdal,"Hjortdalvej 148
    

    9690 Fjerritslev","Godkendt
        29-01-2025","509,42 - 1.028,74 kr.","Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
                Kontakt afdelingen om ledige pladser",Kent Langkjær,klk@jammerbugt.dk,41912109,,,,,,,,,,,Primærkommune,29189439,Jammerbugt Kommune,5798003962597,Tilbuddet selv,57.13518,9.356041,Jammerbugt Kommune
Socialpsykiatriens dagtilbud under serviceloven,"Skolegade 3B
    

    4800 Nykøbing F","Godkendt
        16-03-2017",368 - 368 kr.,"Aktivitets- og samværstilbud, § 104","29 - Aktivitets- og samværstilbud, § 104","29 pladser -
                Kontakt afdelingen om ledige pladser",Jette Gravgaard Frederiksen,jgf@guldborgsund.dk,25180417,,,,,,,,,,,Primærkommune,29188599,Guldborgsund Kommune,Guldborgsund Kommune,Tilbuddet selv,54.766962,11.871228,Guldborgsund Kommune
Struktur og Samvær (Job- og Aktivitetscenteret),"Bank-Mikkelsens Vej 15
    

    2820 Gentofte","Godkendt
        24-06-2024","1.109,66 - 1.968,33 kr.","Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
                Kontakt afdelingen om ledige pladser",Maybritt Perlt Jeppesen,mpj@gentofte.dk,51418855,,,,,,,,,,,Primærkommune,19438414,Gentofte Kommune,5798008659607,Tilbuddet selv,55.752392,12.507361,Gentofte Kommune
Vista Balboa,"Absalonsgade 17
    

    5000 Odense C","Godkendt
        29-10-2020",181 - 181 kr.,"Aktivitets- og samværstilbud, § 104","43 - Aktivitets- og samværstilbud, § 104","43 pladser -
                Kontakt afdelingen om ledige pladser",Anne  Brunse Vaaben,anva@odense.dk,40415744,,,,,,,,,,,Primærkommune,35209115,Odense Kommune,5798006606337,Tilbuddet selv,55.391612,10.391768,Odense Kommune
§104 klubtilbud (Ella og Møller Sørigs Fond),"Gravensgade 48
    

    9700 Brønderslev","Godkendt
        24-11-2015","419,76 - 419,76 kr.","Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
                Kontakt afdelingen om ledige pladser",Dorthe Hilda Samuel,dhs@emsfond.dk,30384670,,,,,,,,,,,Fonde og andre selvejende institutioner,15263504,ELLA OG MØLLER SØRIGS FOND - TIL STØTTE FOR MARGINALISEREDE PERSONER,Brønderslev Kommune,Tilbuddet selv,57.270017,9.951575,Brønderslev Kommune
ADM 2 Skovbrynet (Å-center Syd),"Tømrervej 2
    

    6900 Skjern","Godkendt
        10-12-2024",324 - 627 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
                Kontakt afdelingen om ledige pladser",Kristina Britt Olesen,Kristina.olesen@rksk.dk,25531955,24.079.000 kr.,-909.000 kr.,735.600 kr.,17.098.286 kr.,757.300 kr.,,"-3,78 %","81,01 %","8,05 %","23,07 %",Primærkommune,29189609,Ringkøbing-Skjern Kommune,5798004736531,Tilbuddet selv,55.955238,8.493441,Ringkøbing-Skjern Kommune
Aktivitets- og Kompetencecenter Ruder Es Es,"Øverødvej 2
    

    2840 Holte","Godkendt
        26-08-2020",145 - 145 kr.,"Aktivitets- og samværstilbud, § 104","59 - Aktivitets- og samværstilbud, § 104","59 pladser -
                Kontakt afdelingen om ledige pladser",Allan Steen Vilhelmsen,alvi@rudersdal.dk,72683379,,,,,,,,,,,Primærkommune,29188378,Rudersdal Kommune,5798001169226,Tilbuddet selv,55.810891,12.473713,Rudersdal Kommune
Aktivitets- og samværstilbud (Opholdsstedet Hjortemarksgaard),"Hjortemarksvej 13
    

    4330 Hvalsø","Godkendt
        13-03-2025","1.272,64 - 1.749,64 kr.","Aktivitets- og samværstilbud, § 104","3 - Aktivitets- og samværstilbud, § 104","3 pladser -
            ingen ledige",Erik Rønnenkamp Holst,erik.ronnenkamp@icloud.com,22270235,7.882.274 kr.,53.342 kr.,0 kr.,3.861.754 kr.,624.595 kr.,"10,2 %","0,68 %","74,76 %","9,71 %",19 %,Anpartsselskab,37199222,Opholdsstedet Hjortemarksgaard ApS,Socialtilsyn Øst,Tilbuddet selv,55.60114,11.905273,Lejre Kommune
Aktivitetscenter Dacabo (Pegasus),"Pugesøvej 22
    

    5600 Faaborg","Godkendt
        08-07-2024",1.053 - 1.053 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
                Kontakt afdelingen om ledige pladser
            
            
                
                    Heraf er 11 pladser forbeholdt beboere på botilbuddet",Birgit Søgren Nielsen,bisni@fmk.dk,72536875,17.081.912 kr.,-1.551.242 kr.,339.024 kr.,12.743.824 kr.,1.764.410 kr.,,"-9,08 %","90,38 %","6,38 %","9,4 %",Primærkommune,29188645,Faaborg-Midtfyn Kommune,5798006900848,Tilbuddet selv,55.1052,10.23877,Faaborg-Midtfyn Kommune
Aktivitetscentret Hviddalen,"Kridtsløjfen 50 26
    

    9000 Aalborg","Godkendt
        02-03-2017",536 - 891 kr.,"Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
                Kontakt afdelingen om ledige pladser",Henriette Nielsen,fagc-udv-haem@aalborg.dk,99317705,,,,,,,,,,,Primærkommune,29189420,Aalborg Kommune,5798003751511,Tilbuddet selv,57.036132,9.9371736,Aalborg Kommune
Aktivitetsstedet Søholm,"Nellikevej 48
    

    4060 Kirke Såby","Godkendt
        15-04-2025","602,93 - 602,93 kr.","Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
                Kontakt afdelingen om ledige pladser",Kirsten Bondo,kirsten@soeholm.com,51525275,,,,,,,,,,,Øvrige virksomhedsformer,26893569,Aktivitetsstedet Søholm,Lejre Kommune,Tilbuddet selv,55.631178,11.859034,Lejre Kommune
BO- OG AKTIVITETSCENTER PALLESHAVE,"Hedebovej 48
    

    5750 Ringe","Godkendt
        21-01-2025",722 - 1.056 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
            ingen ledige",Birgit Søgren Nielsen,bisni@fmk.dk,72536875,26.913.148 kr.,41.161 kr.,950.118 kr.,17.891.609 kr.,3.289.979 kr.,,"0,15 %","85,36 %","4,45 %","3,9 %",Primærkommune,29188645,Faaborg-Midtfyn Kommune,5798006900862,Tilbuddet selv,55.259606,10.40769,Faaborg-Midtfyn Kommune
CFD Glostrup,"Jernbanevej 10
    

    2600 Glostrup","Godkendt
        19-05-2020","1.970,01 - 1.970,01 kr.","Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
                Kontakt afdelingen om ledige pladser",Jesper Ditlevsen,jrd@cfd.dk,28707785,,,,,,,,,,,Fonde og andre selvejende institutioner,55280312,CFD,Glostrup Kommune,Tilbuddet selv,55.664632,12.398836,Glostrup Kommune
Centerterapien Psykiatrien Syd,"Færgegaardsvej 15
    

    4760 Vordingborg","Godkendt
        20-03-2014",476 - 824 kr.,"Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
                Kontakt afdelingen om ledige pladser",Helle Andrea Pedersen,hape@regionsjaelland.dk,58537106,,,,,,,,,,,Region,29190658,Region Sjælland,5798002041149,Tilbuddet selv,54.999608,11.908293,Vordingborg Kommune
Damhuset,"Møllesvinget 23
    

    6100 Haderslev","Godkendt
        27-04-2016",475 - 475 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Mette Pedersen,mebp@haderslev.dk,24778843,,,,,,,,,,,Primærkommune,29189757,Haderslev Kommune,5798005226079,Tilbuddet selv,55.283104,9.457844,Haderslev Kommune
Hesteskoen,"Vejrholm 105
    

    9220 Aalborg Øst","Godkendt
        19-01-2022",194 - 608 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
            ingen ledige",Else-Marie Klitgaard,fagc-soc-psyk@aalborg.dk,22457977,,,,,,,,,,,Primærkommune,29189420,Aalborg Kommune,5798003751764,Tilbuddet selv,57.056693,10.015656,Aalborg Kommune
Hus 1 (A-hus Præstø - Socialpædagogik),"Håndværkervej 3
    

    4720 Præstø","Godkendt
        25-05-2020",376 - 376 kr.,"Aktivitets- og samværstilbud, § 104","21 - Aktivitets- og samværstilbud, § 104","21 pladser -
                Kontakt afdelingen om ledige pladser",Bettina Kjærbye,bkja@vordingborg.dk,21705536,,,,,,,,,,,Primærkommune,29189676,Vordingborg Kommune,5798007236243,Tilbuddet selv,55.114924,12.038532,Vordingborg Kommune
Huset Florasvej,"Hovedvejen 51
    

    2600 Glostrup","Godkendt
        19-03-2025",0 - 0 kr.,"Aktivitets- og samværstilbud, § 104","100 - Aktivitets- og samværstilbud, § 104","100 pladser -
                Kontakt afdelingen om ledige pladser",Elena Marianne Nygård Samssund,elena.samssund@glostrup.dk,30339514,,,,,,,,,,,Primærkommune,65120119,Glostrup Kommune,5798009041463,Tilbuddet selv,55.666608,12.407855,Glostrup Kommune
Kildehaven Gården,"Hovedgaden 95
    

    4520 Svinninge","Godkendt
        06-02-2025","570,49 - 1.127,63 kr.","Aktivitets- og samværstilbud, § 104","50 - Aktivitets- og samværstilbud, § 104","50 pladser -
                Kontakt afdelingen om ledige pladser",Majbritt Nyholm,mn@kildehaven.com,28737692,,,,,,,,,,,Aktieselskab,31467918,KILDEHAVEN A/S,Holbæk Kommune,Tilbuddet selv,55.721111,11.454745,Holbæk Kommune
Kuneco,"Roskildevej 19C
    

    3600 Frederikssund","Godkendt
        14-03-2025","739,24 - 739,24 kr.","Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
                Kontakt afdelingen om ledige pladser",Karina Marfelt,adm@kuneco.dk,24210000,,,,,,,,,,,Enkeltmandsvirksomhed,31195403,Kuneco,Frederikssund Kommune,Tilbuddet selv,55.834891,12.068561,Frederikssund Kommune
