Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Landbo (Fonden Landbo),"Ålborgvej 80
    

    9560 Hadsund","Godkendt
        21-03-2025","3.063,29 - 3.063,29 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","7 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Botilbud til længerevarende ophold, § 108","7 pladser -
                Kontakt afdelingen om ledige pladser",Myrna Christensen,landbo@landbo.nu,96520702,36.268.198 kr.,1.728.006 kr.,2.862.875 kr.,19.280.713 kr.,3.243.985 kr.,53 %,"4,76 %","76,02 %",6 %,9 %,56.74769,10.104002
Bagsværd (Nødebogård),"Aldershvilevej 3
    

    2800 Kongens Lyngby","Godkendt
        20-08-2024",11.100 - 22.761 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","3 - Botilbud til midlertidige ophold, § 107
                
            
                
                    7 - Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
                
            
                
                    4 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","7 pladser -
                Kontakt afdelingen om ledige pladser",Tine Stryhn,tine.stryhn@regionh.dk,38668080,94.391.645 kr.,16.104.766 kr.,4.605.931 kr.,41.125.193 kr.,8.035.441 kr.,,"17,06 %","61,67 %",7 %,"29,8 %",55.76401,12.475119
Godset (Kilden Botilbud  S/I),"Algade 12C
    

    4660 Store Heddinge","Godkendt
        11-12-2024","1.910,86 - 2.530,01 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 - Botilbud til midlertidige ophold, § 107
                
            
                
                    5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","6 pladser -
                Kontakt afdelingen om ledige pladser",Morten Ravn,morten@kilden-stu.dk,93859709,28.686.000 kr.,1.136.000 kr.,1.109.000 kr.,15.418.000 kr.,921.000 kr.,"30,5 %","3,96 %","66,04 %","11,3 %","19,9 %",55.310023,12.390254
Palæet (Kilden Botilbud  S/I),"Algade 12C
    

    4660 Store Heddinge","Godkendt
        11-12-2024","2.530,01 - 2.530,01 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","5 pladser -
                Kontakt afdelingen om ledige pladser",Morten Ravn,morten@kilden-stu.dk,93859709,28.686.000 kr.,1.136.000 kr.,1.109.000 kr.,15.418.000 kr.,921.000 kr.,"30,5 %","3,96 %","66,04 %","11,3 %","19,9 %",55.310023,12.390254
Slottet (Kilden Botilbud  S/I),"Algade 12C
    

    4660 Store Heddinge","Godkendt
        11-12-2024","1.600,81 - 2.432.985,25 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Morten Ravn,morten@kilden-stu.dk,93859709,28.686.000 kr.,1.136.000 kr.,1.109.000 kr.,15.418.000 kr.,921.000 kr.,"30,5 %","3,96 %","66,04 %","11,3 %","19,9 %",55.310023,12.390254
Rammehus Fonden,"Algade 30
    

    7620 Lemvig","Godkendt
        04-07-2024","3.703,43 - 3.703,43 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Janni Wachsmuth,janni@rammehus.dk,97888910,6.464.448 kr.,397.682 kr.,130.594 kr.,3.802.760 kr.,136.478 kr.,"65,9 %","6,15 %","75,05 %","4,49 %","11,5 %",56.488536,8.208524
Algade 28 (Rammehus Fonden),"Algade 30
    

    7620 Lemvig","Godkendt
        04-07-2024","3.703,43 - 3.703,43 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","1 pladser -
            ingen ledige",Janni Wachsmuth,janni@rammehus.dk,97888910,6.464.448 kr.,397.682 kr.,130.594 kr.,3.802.760 kr.,136.478 kr.,"65,9 %","6,15 %","75,05 %","4,49 %","11,5 %",56.488536,8.208524
Algade 32 (Rammehus Fonden),"Algade 30
    

    7620 Lemvig","Godkendt
        04-07-2024","3.703,43 - 3.703,43 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    1 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Janni Wachsmuth,janni@rammehus.dk,97888910,6.464.448 kr.,397.682 kr.,130.594 kr.,3.802.760 kr.,136.478 kr.,"65,9 %","6,15 %","75,05 %","4,49 %","11,5 %",56.488536,8.208524
"Det gule Hus (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Algade 76
    

    5750 Ringe","Godkendt
        16-04-2025",508 - 2.117 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","1 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108","2 pladser -
            ingen ledige",Anne-Mette Sørensen,amso@rsyd.dk,30324621,22.075.000 kr.,-329.000 kr.,1.107.000 kr.,15.218.000 kr.,839.000 kr.,,"-1,49 %","80,7 %","6,4 %","10,8 %",55.239779,10.477585
"Autismecenter Guldborgsund, Alslevvej 25, 4850 Stubbekøbing (Autismecenter Guldborgsund)","Alslevvej 25, st.  1
    

    4850 Stubbekøbing","Godkendt
        14-02-2025",998 - 5.383 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104","2 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    7 - Aktivitets- og samværstilbud, § 104","2 pladser -
            ingen ledige",Lasse Christian Frederiksen,lcf@guldborgsund.dk,25182158,15.081.544 kr.,1.088.818 kr.,449.877 kr.,8.918.016 kr.,1.612.295 kr.,,"7,22 %","78,01 %","5,4 %","8,33 %",,
"Autismecenter Guldborgsund , Saxbo, Kalkbrænderivej 17 , 4990 Sakskøbing (Autismecenter Guldborgsund)","Alslevvej 25, st.  1
    

    4850 Stubbekøbing","Godkendt
        14-02-2025",15.835 - 15.835 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    0 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Helle Birgitte Riis,hbri@guldborgsund.dk,25182185,15.081.544 kr.,1.088.818 kr.,449.877 kr.,8.918.016 kr.,1.612.295 kr.,,"7,22 %","78,01 %","5,4 %","8,33 %",,
CAS 2,"Amagerfælledvej 199
    

    2300 København S","Godkendt
        09-10-2024",6.067 - 6.067 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Peter Salgado,za46@kk.dk,23637195,,,,,,,,,,,55.656598,12.593349
CAS 3,"Amagerfælledvej 199
    

    2300 København S","Godkendt
        09-10-2024",2.779 - 6.964 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","31 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","31 pladser -
            ingen ledige",Peter Salgado,za46@kk.dk,23637195,,,,,,,,,,,55.656598,12.593349
CAS 1,"Amagerfælledvej 199
    

    2300 København S","Godkendt
        26-08-2024",1.995 - 7.270 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","36 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","36 pladser -
            ingen ledige",Peter Salgado,ZA46@kk.dk,23637195,,,,,,,,,,,55.656598,12.593349
Ane Staunings Vej 6 (Ane Staunings Vej),"Ane Staunings Vej 6
    

    8700 Horsens","Godkendt
        15-04-2024",1.037 - 6.423 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","15 pladser -
            ingen ledige",Søren Frifelt,sfmo@horsens.dk,40163174,40.001.000 kr.,-1.429.000 kr.,1.577.512 kr.,28.495.653 kr.,4.633.408 kr.,,"-3,57 %","89,05 %","3,17 %","29,21 %",55.869634,9.847091
Ane Staunings Vej 10 (Ane Staunings Vej),"Ane Staunings Vej 6
    

    8700 Horsens","Godkendt
        15-04-2024",1.037 - 6.423 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","16 pladser -
            ingen ledige",Søren Frifelt,sfmo@horsens.dk,40163174,40.001.000 kr.,-1.429.000 kr.,1.577.512 kr.,28.495.653 kr.,4.633.408 kr.,,"-3,57 %","89,05 %","3,17 %","29,21 %",55.869634,9.847091
Enhed for handicap - Botilbuddet Anholtvej (Enhed for handicap - Kollegiet Anholtvej),"Anholtvej 3
    

    4200 Slagelse","Godkendt
        09-12-2024",368 - 486 kr.,"Botilbud til midlertidige ophold, § 107","8 - Botilbud til midlertidige ophold, § 107","8 pladser -
                Kontakt afdelingen om ledige pladser",Kamilla Pedersen,kaphi@slagelse.dk,24599228,14.997.480 kr.,768.153 kr.,512.150 kr.,10.624.058 kr.,61.318 kr.,,"5,12 %","80,3 %",9 %,"19,43 %",55.393386,11.35399
Enhed for handicap - Kollegiet Anholtvej,"Anholtvej 3
    

    4200 Slagelse","Godkendt
        09-12-2024",368 - 512 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","25 - Botilbud til midlertidige ophold, § 107
                
            
                
                    2 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","25 pladser -
                Kontakt afdelingen om ledige pladser",Kamilla Pedersen,kaphi@slagelse.dk,24599228,14.997.480 kr.,768.153 kr.,512.150 kr.,10.624.058 kr.,61.318 kr.,,"5,12 %","80,3 %",9 %,"19,43 %",55.393386,11.35399
Skelbækgård (Bakkegården),"Annebergparken 62
    

    4500 Nykøbing Sj","Godkendt
        19-02-2025",5.186 - 5.186 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","1 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til længerevarende ophold, § 108
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
                Kontakt afdelingen om ledige pladser",Peter Jørgensen,pjo@regionsjaelland.dk,59965900,90.751.969 kr.,2.883.483 kr.,6.743.146 kr.,43.151.931 kr.,10.423.291 kr.,,"3,18 %","71,6 %","10,01 %","25,9 %",55.909545,11.657153
Birkehuset - projektafdeling (Bakkegården),"Annebergparken 62
    

    4500 Nykøbing Sj","Godkendt
        19-02-2025",7.611 - 21.596 kr.,"Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
            
        
            
                Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","3 - Delvist lukket døgninstitution, § 43, stk. 1, nr. 6, og stk. 3, jf. § 61
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","4 pladser -
                Kontakt afdelingen om ledige pladser",Peter Jørgensen,pjo@regionsjaelland.dk,59965900,90.751.969 kr.,2.883.483 kr.,6.743.146 kr.,43.151.931 kr.,10.423.291 kr.,,"3,18 %","71,6 %","10,01 %","25,9 %",55.909545,11.657153
Rørmosegård (Granhøjens Botilbud A/S),"Annebjerg Stræde 4
    

    4500 Nykøbing Sj","Godkendt
        04-02-2025","2.189,43 - 2.189,43 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","4 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Botilbud til længerevarende ophold, § 108","3 pladser -
                Kontakt afdelingen om ledige pladser",Eva Maria Albæk,botilbud@grh.dk,59932301,39.835.411 kr.,-1.892.738 kr.,2.214.847 kr.,16.582.914 kr.,1.143.107 kr.,"76,61 %","-4,75 %","55,57 %","15,18 %","33,3 %",55.907832,11.641462
Boligerne 277-289 (Botilbuddet Arendalsvej),"Arendalsvej 277
    

    8600 Silkeborg","Godkendt
        25-03-2025",880 - 2.099 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Bente Balling,Bente.Balling@silkeborg.dk,30660331,"12.857.516,11 kr.","-910.918,37 kr.","212.958,9 kr.","8.593.274,68 kr.",0 kr.,,"-7,08 %","73,86 %","17,02 %","138,1 %",56.189829,9.594581
Botilbuddet Arendalsvej,"Arendalsvej 280
    

    8600 Silkeborg","Godkendt
        25-03-2025",1.395 - 2.888 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    9 - Botilbud til længerevarende ophold, § 108","9 pladser -
            ingen ledige",Bente Balling,Bente.Balling@silkeborg.dk,30660331,"12.857.516,11 kr.","-910.918,37 kr.","212.958,9 kr.","8.593.274,68 kr.",0 kr.,,"-7,08 %","73,86 %","17,02 %","138,1 %",56.191138,9.595948
Botilbud Nordhavn (Vinklen §107 CSBB),"Århusgade 157, 1.  tv
    

    2150 Nordhavn","Godkendt
        07-04-2025",1.081 - 1.517 kr.,"Botilbud til midlertidige ophold, § 107","12 - Botilbud til midlertidige ophold, § 107","12 pladser -
            ingen ledige",Susanne Inger Wolfsberg,hl72@kk.dk,26816667,20.093.909 kr.,-1.152.646 kr.,0 kr.,9.479.191 kr.,671.003 kr.,,"-5,74 %","54,39 %","22,62 %",28 %,,
Århusvej 2A (Enhed for handicap - Århusvej 2K-E og Århusvej 2A),"Århusvej 2A
    

    4200 Slagelse","Godkendt
        14-03-2025",368 - 751 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","11 pladser -
            ingen ledige",Vibeke Kjærside,vikja@slagelse.dk,60374800,37.883.719 kr.,723.281 kr.,1.284.412 kr.,29.865.145 kr.,2.223.343 kr.,,"1,91 %","92,98 %","0,97 %","23,76 %",55.420777,11.36098
Enhed for handicap - Århusvej 2K-E (Enhed for handicap - Århusvej 2K-E og Århusvej 2A),"Århusvej 2E
    

    4200 Slagelse","Godkendt
        14-03-2025",368 - 751 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","23 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","23 pladser -
            ingen ledige",Vibeke Kjærside,vikja@slagelse.dk,60374800,37.883.719 kr.,723.281 kr.,1.284.412 kr.,29.865.145 kr.,2.223.343 kr.,,"1,91 %","92,98 %","0,97 %","23,76 %",55.421502,11.360852
Toppen (Center for Specialpædagogiske Børnetilbud),"Årslev Møllevej 19A
    

    8220 Brabrand","Godkendt
        26-02-2025",3.522 - 3.522 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","10 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","2 pladser -
            ingen ledige",Mikael Carlsen,specialpaedboernetilbud@aarhus.dk,87132525,79.117.264 kr.,-2.711.315 kr.,5.221.724 kr.,40.044.944 kr.,4.923.881 kr.,,"-3,43 %","69,01 %","8,11 %",14 %,56.155345,10.085158
Skovkanten (Center for Specialpædagogiske Børnetilbud),"Årslev Møllevej 19A
    

    8220 Brabrand","Godkendt
        26-02-2025",3.522 - 3.522 kr.,"Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    12 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 pladser -
            ingen ledige",Mikael Carlsen,specialpaedboernetilbud@aarhus.dk,87132525,79.117.264 kr.,-2.711.315 kr.,5.221.724 kr.,40.044.944 kr.,4.923.881 kr.,,"-3,43 %","69,01 %","8,11 %",14 %,56.155345,10.085158
