Navn,Adresse,Latitude,Longitude,Kontaktperson,Tilsynsstatus,Takster,Tilbudstyper,Pladser,Kapacitet
Østbo (Bofællesskaberne i Lejre kommune),"Præstegårdsvej 3E
  

  4330 Hvalsø",55.5936715,11.8643449,"Michael Preben Jørgensen

  21787672","Godkendt
  30-04-2024",Fra 0 - 991 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","10 pladser -
  Kontakt afdelingen om ledige pladser"
Boenheden Højtoftevej 50,"Højtoftevej 50
  

  7700 Thisted",56.9613503,8.701014,"Mia Gottlieb Rasmussen

  99172740","Godkendt
  09-09-2024",Fra 2.135 - 5.374 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","12 pladser -
  ingen ledige"
Bofællesskabet Krabben,"Slettestrandvej 6
  

  9690 Fjerritslev",57.1364374,9.3561107,"Louise Eskebjerg

  41911813","Godkendt
  14-02-2025","Fra 1.616,34 - 6.651,5 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","22 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","22 pladser -
  Kontakt afdelingen om ledige pladser"
Hus F,"Bøgevej 3
  

  9670 Løgstør",56.957693,9.2474251,"Michele Oxlade

  99669554","Godkendt
  22-04-2025",Fra 2.544 - 2.544 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","6 pladser -
  ingen ledige"
Bofællesskabet Toftekæret (Bofællesskaberne i Lejre kommune),"Præstegårdsvej 3E
  

  4330 Hvalsø",55.5936715,11.8643449,"Michael Preben Jørgensen

  21787672","Godkendt
  30-04-2024",Fra 991 - 991 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","4 pladser -
  ingen ledige"
Bofællesskab Grønningen,"Grønningen 12A
  

  7700 Thisted",56.9630089,8.6950754,"Anette Bundgaard

  29631260","Godkendt
  05-12-2024",Fra 0 - 2.346 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","16 pladser -
  Kontakt afdelingen om ledige pladser"
Bostedet Chr.X´s Allé,"Christian X's Alle 97
  

  2800 Kongens Lyngby",55.765087199999996,12.4951268,"Ole Mikkelsen

  45976000","Godkendt
  06-05-2024",Fra 1.951 - 5.907 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","51 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","51 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbuddet Egehuset,"Poppelvej 1A, st.  10
  

  9460 Brovst",57.0929128,9.5232002,"Gitte Christensen

  51464087","Godkendt
  20-03-2024","Fra 3.954,72 - 7.174,89 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 pladser -
  Kontakt afdelingen om ledige pladser"
Bjergbo Hus A og Platanvej 14 (Bjergbo),"Fjordlystvej 4
  

  7700 Thisted",56.9572113,8.712952,"Ane Kirk

  24837894","Godkendt
  08-01-2025",Fra 2.466 - 6.227 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","7 pladser -
  ingen ledige"
Bomiljø Porsehaven,"Porsehaven 11
  

  2630 Taastrup",55.6401552,12.2723636,"Adam Lars Holst

  20520897","Godkendt
  05-07-2024",Fra 940 - 940 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","11 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","11 pladser -
  Kontakt afdelingen om ledige pladser"
Opgangsbofællesskabet Frederiksborgvej 2,"Frederiksborgvej 2
  

  3450 Allerød",55.8673337,12.3565798,"Johan Banach

  29336743","Godkendt
  10-04-2025","Fra 825,08 - 825,08 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 pladser -
  ingen ledige"
Botilbud Sofievej,"Sofievej 1A
  

  4270 Høng",55.4996854,11.2944078,"Annette Andersen

  24602732","Godkendt
  17-07-2024",Fra 1.294 - 3.125 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
  
  
  
  37 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  21 - Botilbud til længerevarende ophold, § 108","21 pladser -
  Kontakt afdelingen om ledige pladser"
Farupvej 8C (Udviklingscenter Vest - Farupvej 8C),"Farupvej 8C
  

  6760 Ribe",55.342626,8.7640345,"Morten Jensen

  76169500","Godkendt med vilkår
  01-04-2025",Fra 792 - 2.423 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til længerevarende ophold, § 108","3 - Botilbud til midlertidige ophold, § 107
  
  
  
  12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  0 - Botilbud til længerevarende ophold, § 108","12 pladser -
  Kontakt afdelingen om ledige pladser"
Autismetilbuddet Kelsbjergvej - botilbuddet (Autismetilbuddet Kelsbjergvej),"Kelsbjergvej 11
  

  5260 Odense S",55.3160577,10.3420145,"Lene Mia Christiansen

  20535902","Godkendt
  10-04-2025",Fra 2.657 - 7.051 kr.,"Rehabiliteringstilbud, § 107 
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","0 - Rehabiliteringstilbud, § 107 
  
  
  
  35 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","35 pladser -
  Kontakt afdelingen om ledige pladser"
Kamager,"Brønderslev Alle 21
  

  2770 Kastrup",55.6178956,12.6106855,"Anna Marie Karleby

  38668181","Godkendt
  19-02-2025",Fra 2.598 - 7.610 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til længerevarende ophold, § 108","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  24 - Botilbud til længerevarende ophold, § 108","16 pladser -
  ingen ledige"
Botilbud Nørregade (Kildebjerget),"Nørregade 12A, st.  th
  

  8783 Hornsyld",55.7574452,9.8629084,"Klavs Hansen

  29162547","Godkendt
  26-03-2025","Fra 12.271,61 - 12.271,61 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","1 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","1 pladser -
  ingen ledige"
Bo og Aktivitetstilbud Kærvej,"Kærvej 30
  

  9500 Hobro",56.5825813,9.7390211,"Mette Nielsen

  97114863","Godkendt
  04-06-2024",Fra 2.547 - 3.915 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til midlertidige ophold, § 107","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  15 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","1 pladser -
  ingen ledige"
Botilbud Gefionsvej,"Gefionsvej 48
  

  7800 Skive",56.5532346,9.0486134,"Kristian Andersen

  61815216","Godkendt
  21-01-2025",Fra 1.225 - 2.291 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
  
  
  
  16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  2 - Botilbud til midlertidige ophold, § 107","2 pladser -
  Kontakt afdelingen om ledige pladser"
Oktobervej 22 (CFD Boligerne på Oktobervej.),"Oktobervej 22A
  

  2860 Søborg",55.730994,12.470054,"Martin Pedersen

  44391128","Godkendt
  12-03-2025","Fra 3.115,4 - 3.894,26 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  2 - Botilbud til midlertidige ophold, § 107
  
  
  
  1 - Botilbud til længerevarende ophold, § 108","1 pladser -
  ingen ledige"
Botilbud Grimstrupvej - Autisme (Autismetilbud Vordingborg),"Grimstrupvej 101D
  

  4700 Næstved",55.2210275,11.7433689,"Karsten Johansen

  29280542","Godkendt
  01-11-2024",Fra 2.297 - 3.256 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  Botilbud til længerevarende ophold, § 108","9 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
  
  
  
  5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  ingen ledige"
"Tornhuset Brunsegårdsvej (Tornhuset, Tornbjergvej)","Tornbjergvej 1
  

  5220 Odense SØ",55.3758002,10.4583731,"Britt Clausen

  23313949","Godkendt
  12-03-2025",Fra 28 - 3.767 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","1 - Botilbud til længerevarende ophold, § 108
  
  
  
  18 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","1 pladser -
  ingen ledige"
"Banebyen Vilhelm Ehlerts Allé (Specialområde Autisme, Viborg)","Vilhelm Ehlerts Alle 10
  

  8800 Viborg",56.4446862,9.3943908,"Sanne Frølund

  24753799","Godkendt
  10-01-2025",Fra 1.535 - 1.535 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","10 - Botilbud til længerevarende ophold, § 108
  
  
  
  9 - Botilbud til midlertidige ophold, § 107","10 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbud Tipsvænget 1 (Fonden Skovhaven),"Frederiksgade 17D
  

  5700 Svendborg",55.0588799,10.6121707,"Helle Præstekjær

  25367437","Godkendt med vilkår
  13-12-2024","Fra 556,18 - 5.758,34 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","6 - Botilbud til længerevarende ophold, § 108
  
  
  
  7 - Botilbud til midlertidige ophold, § 107","6 pladser -
  Kontakt afdelingen om ledige pladser"
Botilbud Udsigten,"Buen 9B, 1. 
  

  9800 Hjørring",57.4607364,9.9781112,"Søren Hjelm Kristensen

  41225728","Godkendt med vilkår
  04-12-2024",Fra 1.494 - 1.495 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","15 - Botilbud til midlertidige ophold, § 107
  
  
  
  4 - Botilbud til længerevarende ophold, § 108","4 pladser -
  ingen ledige"
Botilbuddet Arendalsvej,"Arendalsvej 280
  

  8600 Silkeborg",56.1910763,9.5957577,"Bente Balling

  30660331","Godkendt
  25-03-2025",Fra 1.395 - 2.888 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","2 - Botilbud til midlertidige ophold, § 107
  
  
  
  9 - Botilbud til længerevarende ophold, § 108","2 pladser -
  ingen ledige"
"Dannebrogsgade (Specialområde Autisme, Viborg)","Dannebrogsgade 16
  

  8800 Viborg",56.4515366,9.4044779,"Sanne Frølund

  24753799","Godkendt
  10-01-2025",Fra 1.797 - 1.797 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
  
  
  
  8 - Botilbud til midlertidige ophold, § 107","8 pladser -
  Kontakt afdelingen om ledige pladser"
Det Private Botilbud Højtoft,"Højtoften 1
  

  4330 Hvalsø",55.5926823,11.8463952,"Thomas Viskum

  31559696","Godkendt
  28-11-2024","Fra 2.659,9 - 3.245,09 kr.","Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","23 - Botilbud til midlertidige ophold, § 107
  
  
  
  23 - Botilbud til længerevarende ophold, § 108","23 pladser -
  Kontakt afdelingen om ledige pladser"
"Døvblindehuset, CFD - botilbud (Døvblindehuset, CFD)","Wesselsmindevej 11
  

  2850 Nærum",55.8090241,12.54207,"Mona Pagnozzi

  44391302","Godkendt
  24-03-2025","Fra 4.665,06 - 7.254,22 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","2 - Botilbud til længerevarende ophold, § 108
  
  
  
  10 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","10 pladser -
  ingen ledige"
Gødvad Boligerne (Specialområde Autisme Gødvad),"Stavangervej 13C
  

  8600 Silkeborg",56.1789717,9.594212,"Sanne Frølund

  24753799","Godkendt
  03-01-2025",Fra 2.183 - 2.183 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
  
  
  
  5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  Kontakt afdelingen om ledige pladser"
Gødvad Botilbud (Specialområde Autisme Gødvad),"Stavangervej 13C
  

  8600 Silkeborg",56.1789717,9.594212,"Sanne Frølund

  24753799","Godkendt
  03-01-2025",Fra 2.174 - 2.174 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
  
  
  
  5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  Kontakt afdelingen om ledige pladser"
HabitusHuset Maglebyvej (HabitusHuset Søvang),"Maglebyvej 21
  

  4672 Klippinge",55.3703613,12.3238057,"Elizabeth Bergstrøm

  20610241","Godkendt
  01-04-2024","Fra 10.303,2 - 13.129,9 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","3 - Botilbud til længerevarende ophold, § 108
  
  
  
  2 - Botilbud til midlertidige ophold, § 107","3 pladser -
  Kontakt afdelingen om ledige pladser"
Kastbjerghus S/I,"Bygaden 7A
  

  8970 Havndal",56.6445327,10.1572818,"Torben Andersen

  24238583","Godkendt
  18-03-2025","Fra 7.938,23 - 9.346,34 kr.","Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbud til midlertidige ophold, § 107","2 - Botilbud til længerevarende ophold, § 108
  
  
  
  1 - Botilbud til midlertidige ophold, § 107","2 pladser -
  Kontakt afdelingen om ledige pladser"
"Kirkevej, Hus A (Autismecenter Syddanmark, Æblehaven, Holmehøj og Kirkevej)","Kirkevej 14A
  

  5772 Kværndrup",55.1746973,10.5342587,"Anne-Mette Sørensen

  30324621","Godkendt
  16-04-2025",Fra 2.845 - 5.479 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","0 - Botilbud til midlertidige ophold, § 107
  
  
  
  14 - Botilbud til længerevarende ophold, § 108","14 pladser -
  ingen ledige"
Lindebo,"Lindebo 11
  

  8544 Mørke",56.3669298,10.3306631,"Inger Schmidt

  21276744","Godkendt
  17-05-2024",Fra 1.319 - 1.319 kr.,"Botilbud til midlertidige ophold, § 107
  
  
  
  Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
  
  
  
  5 - Botilbud til længerevarende ophold, § 108","5 pladser -
  ingen ledige"
Palleshave Bo (BO- OG AKTIVITETSCENTER PALLESHAVE),"Hedebovej 48
  

  5750 Ringe",55.2596072,10.407684,"Birgit Søgren Nielsen

  72536875","Godkendt
  21-01-2025",Fra 1.401 - 2.165 kr.,"Botilbud til længerevarende ophold, § 108
  
  
  
  Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbud til længerevarende ophold, § 108
  
  
  
  19 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","19 pladser -
  ingen ledige"
