Navn,Adresse,Latitude,Longitude,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon
Landeriets aktivitets- og samværstilbud (§ 104) (Landeriet),"Krøjgårdvej 17
  

  7400 Herning",56.1524923,9.0502781,"Godkendt
  03-06-2024","409,14 - 409,14 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Søren Bundgaard,sb@landeriet.dk,20891747
Netværksklubtilbud Kollegiet Vestergade (Fonden for Midtfyns Kollegier og Botilbud),"Vestergade 27
  

  5750 Ringe",55.2343789,10.473386,"Godkendt
  14-02-2025","288,11 - 288,11 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  Kontakt afdelingen om ledige pladser",Dorthe Vistrup,dvi@ringekostskole.dk,62622080
"Nymarksvej, Aktivitets- og samværstilbud (Autismecenter Syddanmark, Nymarksvej og Teglgårdsparken)","Nymarksvej 131
  

  7000 Fredericia",55.5833389,9.7598613,"Godkendt med vilkår
  26-04-2025",1.276 - 2.086 kr.,"Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 14 pladser forbeholdt beboere på botilbuddet",Anne-Mette Sørensen,amso@rsyd.dk,30324621
Paletten (Autismeområdet - aktivitets- og beskæftigelsestilbud),"Færgegaardsvej 15
  

  4760 Vordingborg",55.0001155,11.9110728,"Godkendt
  29-01-2016",647 - 1.982 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  ingen ledige",Trine Mangor,trma@vordingborg.dk,21538849
Pibergården Lavuk,"Nødebovej 56
  

  3480 Fredensborg",55.9902353,12.3522048,"Godkendt
  16-03-2015","460,78 - 1.724,83 kr.","Aktivitets- og samværstilbud, § 104","25 - Aktivitets- og samværstilbud, § 104","25 pladser -
  Kontakt afdelingen om ledige pladser",Katrine Bang,khb@lavuk.dk,48484501
Slusen,"Frederikshavnsvej 70
  

  9800 Hjørring",57.4547894,10.0097151,"Godkendt
  20-02-2015",591 - 591 kr.,"Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  Kontakt afdelingen om ledige pladser",Anne Mette Drustrup,amkd@hjoerring.dk,41226455
Stafetten (Autismeområdet - aktivitets- og beskæftigelsestilbud),"Skallegårdsvej 2A
  

  4700 Næstved",55.198888,11.760768,"Godkendt
  29-01-2016",647 - 1.982 kr.,"Aktivitets- og samværstilbud, § 104","20 - Aktivitets- og samværstilbud, § 104","20 pladser -
  Kontakt afdelingen om ledige pladser",Trine Mangor,trma@vordingborg.dk,21538849
Vega Dagcenter (Vega Boliger og Dagcenter),"Godhavnsvej 2B
  

  3220 Tisvildeleje",56.059543,12.10012,"Godkendt
  18-04-2024","916,01 - 1.985,83 kr.","Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 10 pladser forbeholdt beboere på botilbuddet",Annette Crillesen,acril@gribskov.dk,72499210
§ 104 (Fonden Asgaard),"Nøddelunden 1
  

  5580 Nørre Aaby",55.4628887,9.8759514,"Godkendt
  07-11-2024","446,47 - 446,47 kr.","Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  ingen ledige",Brian Pedersen,bp@asgaard-fyn.dk,63407071
Dagtilbuddet Brønshøjvej og  klub Hvepsereden Captum (Dagtilbuddet Captum),"Brønshøjvej 17D
  

  2700 Brønshøj",55.7021259,12.498506,"Godkendt
  10-07-2023",305 - 518 kr.,"Aktivitets- og samværstilbud, § 104","49 - Aktivitets- og samværstilbud, § 104","49 pladser -
  Kontakt afdelingen om ledige pladser",Vibeke Jessen,KU3T@kk.dk,23811241
"Autismecenter Midtjylland, Afdeling Hagelskærvej","Hagelskærvej 15
  

  7430 Ikast",56.1475915,9.1445113,"Godkendt
  15-11-2024",672 - 918 kr.,"Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 20 pladser forbeholdt beboere på botilbuddet",Peter Prior,petprio@ikast-brande.dk,99605301
Dagtilbud Væksthuset,"Viren 15
  

  9310 Vodskov",57.114853,10.032254,"Godkendt
  20-12-2024",400 - 933 kr.,"Aktivitets- og samværstilbud, § 104","23 - Aktivitets- og samværstilbud, § 104","23 pladser -
  ingen ledige",Jeanette Hurley,fagc-saerl-tilbud@aalborg.dk,20699802
Egedal Dagtilbud ApS,"Vallekildevej 134
  

  4534 Hørve",55.7458077,11.4273755,"Godkendt
  25-03-2025","808,95 - 808,95 kr.","Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  Kontakt afdelingen om ledige pladser",Sidse Ravn,sr@egedal.nu,28757777
Bakkevænget (Bofællesskabet Postens Vej),"H.O. Wildenskovsvej 10
  

  7080 Børkop",55.6553604,9.6682215,"Godkendt
  22-04-2025",382 - 923 kr.,"Aktivitets- og samværstilbud, § 104","79 - Aktivitets- og samværstilbud, § 104","79 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 75 pladser forbeholdt beboere på botilbuddet",Hanne Frandsen,hfsen@vejle.dk,22841826
Guldborgsund Handicap - Specialtilbuddet ASF § 104,"Nørrevang 24
  

  4990 Sakskøbing",54.8032934,11.6314724,"Godkendt
  30-10-2017",786 - 786 kr.,"Aktivitets- og samværstilbud, § 104","11 - Aktivitets- og samværstilbud, § 104","11 pladser -
  Kontakt afdelingen om ledige pladser",Tine Britt Säilä,tbs@guldborgsund.dk,25182180
Aktivitetsstedet Søholm,"Nellikevej 48
  

  4060 Kirke Såby",55.631279,11.858516,"Godkendt
  15-04-2025","602,93 - 602,93 kr.","Aktivitets- og samværstilbud, § 104","35 - Aktivitets- og samværstilbud, § 104","35 pladser -
  Kontakt afdelingen om ledige pladser",Kirsten Bondo,kirsten@soeholm.com,51525275
AKTIVITETS- OG SAMVÆRSTILBUD §104 (Boligerne ved Grønningen),"Bank-Mikkelsens Vej 8A
  

  2820 Gentofte",55.7524962,12.5092589,"Godkendt
  18-11-2024","1.245 - 5.752,98 kr.","Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Anne Merete Bruhn-Jensen,abj@gentofte.dk,39987075
Gundersted Købmandsgård 2 (Gundersted Købmandsgård),"Gunderstedvej 43
  

  9240 Nibe",56.9045662,9.4851796,"Godkendt
  19-12-2014",679 - 679 kr.,"Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Kenneth Bach Christensen,kbc@vesthimmerland.dk,21639068
Gnisten (AKU-center Frederikssund),"Lundebjergvej 76
  

  3600 Frederikssund",55.8440592,12.0564559,"Godkendt
  05-11-2019",947 - 1.628 kr.,"Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser",Jens Kristian Vedel Skaaning,jkvsk@frederikssund.dk,21692809
"Autismecenter Midtjylland, Afd. Fasanvej","Fasanvej 3
  

  7430 Ikast",56.1337635,9.131051,"Godkendt
  23-01-2025",590 - 824 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Peter Prior,petprio@ikast-brande.dk,99605251
Specialtilbud - Koktvedparken Dagtilbud (Specialtilbud - Koktvedparken),"Koktvedparken 2 1
  

  9900 Frederikshavn",57.4356462,10.4988854,"Godkendt
  21-06-2024",778 - 1.261 kr.,"Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 2 pladser forbeholdt beboere på botilbuddet",Anne Mette Mortensen,post@frederikshavn.dk,21652980
Dyreteam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,59 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Else Hus - Dagcenter (Bo- og dagtilbud Else Hus),"Skelbakken 8
  

  2690 Karlslunde",55.5672914,12.2394788,"Godkendt
  01-04-2025",1.545 - 1.950 kr.,"Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser",Jette Irene Kofoed,jeik@regionsjaelland.dk,46161822
Aktivitets- og samværstilbud (Opholdsstedet Hjortemarksgaard),"Hjortemarksvej 13
  

  4330 Hvalsø",55.601144,11.905243,"Godkendt
  13-03-2025","1.272,64 - 1.749,64 kr.","Aktivitets- og samværstilbud, § 104","3 - Aktivitets- og samværstilbud, § 104","3 pladser -
  ingen ledige",Erik Rønnenkamp Holst,erik.ronnenkamp@icloud.com,22270235
"Kellersvej 3 (BAS (Beskæftigelse, Aktivitet & Samvær))","Kellersvej 3
  

  2860 Søborg",55.7550541,12.4969898,"Godkendt
  25-04-2025",630 - 2.171 kr.,"Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  Kontakt afdelingen om ledige pladser",Lea Isaksen,handicaptilbud@gladsaxe.dk,39573336
"SMIL TV Aarhus (Aktivitetstilbuddene Idrætscenter Aarhus, SMIL TV, og Karavana)","Graham Bells Vej 1A
  

  8200 Aarhus N",56.201326,10.182651,"Godkendt
  06-08-2024",123 - 494 kr.,"Aktivitets- og samværstilbud, § 104","8 - Aktivitets- og samværstilbud, § 104","8 pladser -
  ingen ledige",Uffe Dittmer,cbb@msb.aarhus.dk,61667002
Grøntteam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Autismetilbuddets aktivitet- og samværstilbud (Autismetilbuddet Kelsbjergvej),"Kelsbjergvej 11
  

  5260 Odense S",55.3160577,10.3420145,"Godkendt
  10-04-2025",1.164 - 1.164 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 35 pladser forbeholdt beboere på botilbuddet",Lene Mia Christiansen,lemc@odense.dk,20535902
Dagtilbuddet 12'eren (Dagtilbuddet Spektrum),"Radisevej 12
  

  2300 København S",55.6486718,12.6078571,"Godkendt
  10-07-2023",2.012 - 2.012 kr.,"Aktivitets- og samværstilbud, § 104","7 - Aktivitets- og samværstilbud, § 104","7 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Aktivitets- og Kompetencecenter Ruder Es Es,"Øverødvej 2
  

  2840 Holte",55.8110227,12.4743271,"Godkendt
  26-08-2020",145 - 145 kr.,"Aktivitets- og samværstilbud, § 104","59 - Aktivitets- og samværstilbud, § 104","59 pladser -
  Kontakt afdelingen om ledige pladser",Allan Steen Vilhelmsen,alvi@rudersdal.dk,72683379
Aktivitetscenter  Aubo (Pegasus),"Pugesøvej 22
  

  5600 Faaborg",55.1052716,10.2387218,"Godkendt
  08-07-2024",1.053 - 1.053 kr.,"Aktivitets- og samværstilbud, § 104","6 - Aktivitets- og samværstilbud, § 104","6 pladser -
  ingen ledige",Birgit Søgren Nielsen,bisni@fmk.dk,72536875
Aktivitetstilbuddet Kileparken,"Kileparken 21
  

  8381 Tilst",56.1865573,10.1150416,"Godkendt
  05-02-2024",301 - 402 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  ingen ledige",Jakob Ballebye,cav@msb.aarhus.dk,41890806
Annexgaarden Nakke STU & § 104,"Bygaden 6
  

  4500 Nykøbing Sj",55.9235489,11.7338715,"Godkendt
  30-04-2025","667,8 - 667,8 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Gritt Maria Deleuran,grittevit@yahoo.dk,23238008
Athena (Holmstrupgård),"Holmstrupgårdvej 39
  

  8220 Brabrand",56.1748741,10.1180923,"Godkendt
  26-02-2025","290,97 - 290,97 kr.","Aktivitets- og samværstilbud, § 104","12 - Aktivitets- og samværstilbud, § 104","12 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 12 pladser forbeholdt beboere på botilbuddet",Trine Malver,TrinePaludan.Malver@ps.rm.dk,78478600
Bosager Aktivitet og Samværstilbud - BAS (Botilbud Bosager),"Bosager 2
  

  6400 Sønderborg",54.92279,9.7818805,"Godkendt
  08-01-2025",400 - 400 kr.,"Aktivitets- og samværstilbud, § 104","53 - Aktivitets- og samværstilbud, § 104","53 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 27 pladser forbeholdt beboere på botilbuddet",Steen Boris Hansen,sbha@sonderborg.dk,27900125
Dagsaktiviteten Fælleshåb,"Bogensevej 123
  

  5500 Middelfart",55.4997492,9.8572591,"Godkendt
  02-06-2021",471 - 786 kr.,"Aktivitets- og samværstilbud, § 104","40 - Aktivitets- og samværstilbud, § 104","40 pladser -
  Kontakt afdelingen om ledige pladser",Martin Østergaard,Martin.ostergaard@middelfart.dk,24674664
Dagtilbud Gimle 1. sal (Dagtilbud),"Baldersvej 11
  

  9900 Frederikshavn",57.4308441,10.4960056,"Godkendt
  27-04-2016",3.165 - 3.165 kr.,"Aktivitets- og samværstilbud, § 104","1 - Aktivitets- og samværstilbud, § 104","1 pladser -
  ingen ledige",Helle Skovgaard Mortensen,hsmo@frederikshavn.dk,23826014
Dagtilbuddet Horisonten (Dagtilbuddet Spektrum),"Pallesvej 80
  

  2300 København S",55.6531395,12.6378174,"Godkendt
  10-07-2023",686 - 686 kr.,"Aktivitets- og samværstilbud, § 104","58 - Aktivitets- og samværstilbud, § 104","58 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Fortuna,"Herluf Trolles Vej 1A
  

  7400 Herning",56.1316425,8.9646258,"Godkendt
  07-09-2023",1.801 - 1.801 kr.,"Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  ingen ledige",Charlotte Hald Madsen,moscm@herning.dk,22443879
Kunstskolen Sundby Væksthus Captum (Dagtilbuddet Captum),"Radisevej 2
  

  2300 København S",55.6494528,12.6086772,"Godkendt
  10-07-2023",347 - 347 kr.,"Aktivitets- og samværstilbud, § 104","14 - Aktivitets- og samværstilbud, § 104",Kontakt afdelingen om ledige pladser,Vibeke Jessen,KU3T@kk.dk,23811241
Rom Skole (Dagsværket),"Rom Skole 12
  

  7620 Lemvig",56.5263707,8.3122204,"Godkendt
  16-02-2022",336 - 336 kr.,"Aktivitets- og samværstilbud, § 104","27 - Aktivitets- og samværstilbud, § 104","27 pladser -
  Kontakt afdelingen om ledige pladser",Helle Laursen,helle.roenn.laursen@lemvig.dk,24246325
Stendyssegaarden STU,"Stendyssevej 8B
  

  4534 Hørve",55.7437063,11.4039381,"Godkendt
  04-12-2024","643,95 - 643,95 kr.","Aktivitets- og samværstilbud, § 104","4 - Aktivitets- og samværstilbud, § 104","4 pladser -
  Kontakt afdelingen om ledige pladser",Kia Madsen,stu@stendyssegaarden.dk,40470847
Torsdagsklubben,"Sygehusvej 25
  

  4600 Køge",55.4630445,12.1807347,"Godkendt
  27-04-2016","26,14 - 26,14 kr.","Aktivitets- og samværstilbud, § 104","80 - Aktivitets- og samværstilbud, § 104","80 pladser -
  Kontakt afdelingen om ledige pladser",Susanne Trap,susanne.trap@koege.dk,28792243
Troldehuset (Udviklingscentret Spurvetoften),"H.O. Wildenskovsvej 2
  

  7080 Børkop",55.6553604,9.6682215,"Godkendt
  31-03-2025",701 - 2.400 kr.,"Aktivitets- og samværstilbud, § 104","26 - Aktivitets- og samværstilbud, § 104","26 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 26 pladser forbeholdt beboere på botilbuddet",Mette Cecilie Poulsen,megpo@vejle.dk,20306496
"Værkstedet Brunsegårdsvej (Tornhuset, Tornbjergvej)","Brunsegårdsvej 53
  

  5690 Tommerup",55.3150129,10.2116186,"Godkendt
  12-03-2025",661 - 661 kr.,"Aktivitets- og samværstilbud, § 104","23 - Aktivitets- og samværstilbud, § 104","23 pladser -
  ingen ledige",Britt Clausen,bricl@odense.dk,23313949
§104 (Thyfondens socialpsykiatriske bo- og arbejdstilbud Enggården),"Enggårdsvej 2
  

  7700 Thisted",56.9140913,8.475852,"Godkendt
  03-01-2025","398,63 - 417,18 kr.","Aktivitets- og samværstilbud, § 104","24 - Aktivitets- og samværstilbud, § 104","24 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 10 pladser forbeholdt beboere på botilbuddet",Leo Jørgensen,lj@thisted.dk,97937255
§104 Aktivitets- og samværstilbud (OK-Fonden Enghaven socialpsykiatrisk bosted),"Søvangen 1
  

  8700 Horsens",55.8920544,9.9957515,"Godkendt
  27-11-2024","95,5 - 381,98 kr.","Aktivitets- og samværstilbud, § 104","5 - Aktivitets- og samværstilbud, § 104","5 pladser -
  Kontakt afdelingen om ledige pladser",Anette Jensen,okelj@ok-fonden.dk,75659211
§104 Aktivitets- og samværstilbud - Møllebakkegården (§104 Aktivitets- og samværstilbud),"Tømmerupvej 42
  

  4400 Kalundborg",55.6789745,11.1505442,"Godkendt
  08-10-2019",261 - 435 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  Kontakt afdelingen om ledige pladser",Dorthe Westh,dowe@kalundborg.dk,29412255
§104 Aktivitets- og samværstilbud - Sofiehuset (§104 Aktivitets- og samværstilbud),"Sofievej 1A
  

  4270 Høng",55.4996854,11.2944078,"Godkendt
  08-10-2019",261 - 435 kr.,"Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
  Kontakt afdelingen om ledige pladser",Dorthe Westh,dowe@kalundborg.dk,29412255
AC No. 17 (AUC Grenaa),"Vestergade 17
  

  8963 Auning",56.4307724,10.3733159,"Godkendt
  09-01-2025",119 - 268 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Marie Kohsel Justesen,mako@norddjurs.dk,23399678
AST - Aktivitets og samværstilbud (Enhed for handicap - § 104 Slagelse),"Rosenkildevej 85
  

  4200 Slagelse",55.4229964,11.3602117,"Godkendt
  27-02-2024",129 - 147 kr.,"Aktivitets- og samværstilbud, § 104","70 - Aktivitets- og samværstilbud, § 104","70 pladser -
  Kontakt afdelingen om ledige pladser",Inge Lindegaard Kristensen,ickri@slagelse.dk,21274280
Aktivitets- og samværstilbud 2 (Center for Handicap - A-Huset i Fuglse),"Møllevej 26
  

  4960 Holeby",54.7110491,11.526065,"Godkendt
  12-03-2014",573 - 573 kr.,"Aktivitets- og samværstilbud, § 104","10 - Aktivitets- og samværstilbud, § 104","10 pladser -
  ingen ledige",Annette Hansen,centerforhandicap@lolland.dk,51290851
Center for Handicap - A-Huset i Fuglse,"Møllevej 26
  

  4960 Holeby",54.7110491,11.526065,"Godkendt
  12-03-2014",388 - 573 kr.,"Aktivitets- og samværstilbud, § 104","60 - Aktivitets- og samværstilbud, § 104","60 pladser -
  ingen ledige",Annette Hansen,centerforhandicap@lolland.dk,51290851
Center for Socialpsykiatri  - Værestedet Teglgården,"Maribovej 119
  

  4900 Nakskov",54.8328189,11.1610526,"Godkendt
  19-02-2016",243 - 243 kr.,"Aktivitets- og samværstilbud, § 104","30 - Aktivitets- og samværstilbud, § 104","30 pladser -
  ingen ledige",Michael Christensen,mich@lolland.dk,29609570
Dagtilbuddet Naturteamet (Dagtilbuddet Spektrum),"Radisevej 12
  

  2300 København S",55.6486718,12.6078571,"Godkendt
  10-07-2023",1.341 - 1.341 kr.,"Aktivitets- og samværstilbud, § 104","9 - Aktivitets- og samværstilbud, § 104","9 pladser -
  ingen ledige",Mads Hansen,ek09@kk.dk,27641775
Egholt Dagtilbud (Egholt),"Næstvedvej 78A
  

  4180 Sorø",55.38891,11.642834,"Godkendt
  15-04-2025","891,99 - 891,99 kr.","Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser
  
  
  
  Heraf er 18 pladser forbeholdt beboere på botilbuddet",Lars Andersen,adm@egholt.dk,57608300
"Globen Løgstør Aktivitetsafdelingen, fløj vest (Globen Løgstør)","Frederik VII's Alle 15
  

  9670 Løgstør",56.9605374,9.2466033,"Godkendt
  15-12-2015",867 - 867 kr.,"Aktivitets- og samværstilbud, § 104","22 - Aktivitets- og samværstilbud, § 104","22 pladser -
  Kontakt afdelingen om ledige pladser",Kenneth Bach Christensen,kbc@vesthimmerland.dk,21639068
Grønhøj (Center for Social Rehabilitering),"Vesterbrogade 13
  

  7100 Vejle",55.7143746,9.5344515,"Godkendt
  09-02-2018",,"Aktivitets- og samværstilbud, § 104","15 - Aktivitets- og samværstilbud, § 104","15 pladser -
  ingen ledige",Peter Saaby,petsa@vejle.dk,23383450
Hasselvej 1B (Aktivitets- og samværstilbuddet Vongshøj),"Nørregade 30
  

  6240 Løgumkloster",55.0837213,8.9339467,"Godkendt
  02-07-2019",286 - 572 kr.,"Aktivitets- og samværstilbud, § 104","21 - Aktivitets- og samværstilbud, § 104","21 pladser -
  Kontakt afdelingen om ledige pladser",Marianne Styrk,mst@toender.dk,29432494
Kraftværket,"Poppelvej 14
  

  9000 Aalborg",57.0443782,9.8904966,"Godkendt
  12-03-2015",266 - 355 kr.,"Aktivitets- og samværstilbud, § 104","28 - Aktivitets- og samværstilbud, § 104","28 pladser -
  Kontakt afdelingen om ledige pladser",Morten Højgaard,fagc-soc-psyk@aalborg.dk,31990089
Kreateam 2 (NorGro),"Kildevej 3B
  

  3200 Helsinge",56.004809,12.2372594,"Godkendt
  04-11-2024","930,15 - 2.694,69 kr.","Aktivitets- og samværstilbud, § 104","2 - Aktivitets- og samværstilbud, § 104","2 pladser -
  Kontakt afdelingen om ledige pladser",Monica Rosenville Larsen,mr@norgro.dk,27510498
Kuneco,"Roskildevej 19C
  

  3600 Frederikssund",55.8349121,12.0686031,"Godkendt
  14-03-2025","739,24 - 739,24 kr.","Aktivitets- og samværstilbud, § 104","16 - Aktivitets- og samværstilbud, § 104","16 pladser -
  Kontakt afdelingen om ledige pladser",Karina Marfelt,adm@kuneco.dk,24210000
Netværkstilbud (med arbejds og praktiknetværk tilknyttet) SpecialcenterSIGRID UNDSET,"Frederik Andersensvej 1
  

  4400 Kalundborg",55.6854646,11.0945631,"Godkendt
  19-08-2015",584 - 584 kr.,"Aktivitets- og samværstilbud, § 104","18 - Aktivitets- og samværstilbud, § 104","18 pladser -
  Kontakt afdelingen om ledige pladser",Tine Russotti,tiru@kalundborg.dk,20154051
